symbol,month,GICS Sector,avg_adj_close
A,2010-01-01,Health Care,21.610195277894736
A,2010-02-01,Health Care,21.551464612105264
A,2010-03-01,Health Care,23.954406791739128
A,2010-04-01,Health Care,25.331766434761903
A,2010-05-01,Health Care,23.756080079500002
A,2010-06-01,Health Care,22.25712059409091
A,2010-07-01,Health Care,20.26534522047619
A,2010-08-01,Health Care,20.179152068181818
A,2010-09-01,Health Care,21.704475816190477
A,2010-10-01,Health Care,24.39982287714286
A,2010-11-01,Health Care,25.564070985714288
A,2010-12-01,Health Care,28.201651579545455
A,2011-01-01,Health Care,30.288268920500002
A,2011-02-01,Health Care,30.709284165789473
A,2011-03-01,Health Care,31.515519095217392
A,2011-04-01,Health Care,33.6248211375
A,2011-05-01,Health Care,35.958852953333334
A,2011-06-01,Health Care,34.706074165
A,2011-07-01,Health Care,33.940271996
A,2011-08-01,Health Care,25.14648264652174
A,2011-09-01,Health Care,24.256080046190476
A,2011-10-01,Health Care,24.525853293809526
A,2011-11-01,Health Care,26.134273349999997
A,2011-12-01,Health Care,24.98364990714286
A,2012-01-01,Health Care,28.7832619095
A,2012-02-01,Health Care,31.374821028999996
A,2012-03-01,Health Care,31.785992781818184
A,2012-04-01,Health Care,30.481401788
A,2012-05-01,Health Care,29.083105832272725
A,2012-06-01,Health Care,27.98351403380952
A,2012-07-01,Health Care,26.897608965238096
A,2012-08-01,Health Care,27.510418704347824
A,2012-09-01,Health Care,27.51976504105263
A,2012-10-01,Health Care,26.731385073809527
A,2012-11-01,Health Care,26.504870836190477
A,2012-12-01,Health Care,28.5321889135
A,2013-01-01,Health Care,31.259622522857143
A,2013-02-01,Health Care,31.047361154736844
A,2013-03-01,Health Care,30.331187696500002
A,2013-04-01,Health Care,30.105670470454548
A,2013-05-01,Health Care,31.745025457727273
A,2013-06-01,Health Care,31.406652431999998
A,2013-07-01,Health Care,32.408635972727275
A,2013-08-01,Health Care,33.397710659090905
A,2013-09-01,Health Care,35.5000002505
A,2013-10-01,Health Care,36.734465540869564
A,2013-11-01,Health Care,37.483905687
A,2013-12-01,Health Care,39.90258164857143
A,2014-01-01,Health Care,42.03760518476191
A,2014-02-01,Health Care,41.104209624210526
A,2014-03-01,Health Care,40.38899104238095
A,2014-04-01,Health Care,39.03876282476191
A,2014-05-01,Health Care,39.74930199714286
A,2014-06-01,Health Care,41.67484222380953
A,2014-07-01,Health Care,40.71465743363637
A,2014-08-01,Health Care,40.50991259761905
A,2014-09-01,Health Care,41.28687247142857
A,2014-10-01,Health Care,38.74790066478261
A,2014-11-01,Health Care,41.46842115789474
A,2014-12-01,Health Care,41.01590918181818
A,2015-01-01,Health Care,39.11900015
A,2015-02-01,Health Care,40.53789510526316
A,2015-03-01,Health Care,41.59136368181818
A,2015-04-01,Health Care,42.52857119047619
A,2015-05-01,Health Care,42.0860001
A,2015-06-01,Health Care,40.01045463636364
A,2015-07-01,Health Care,39.90136431818182
A,2015-08-01,Health Care,38.21619047619048
A,2015-09-01,Health Care,35.29285747619048
A,2015-10-01,Health Care,36.04409122727273
A,2015-11-01,Health Care,38.9059999
A,2015-12-01,Health Care,41.112272545454545
A,2016-01-01,Health Care,38.04578942105263
A,2016-02-01,Health Care,36.89049955
A,2016-03-01,Health Care,39.22181840909091
A,2016-04-01,Health Care,40.71238104761905
A,2016-05-01,Health Care,43.35047585714286
A,2016-06-01,Health Care,45.22272727272727
A,2016-07-01,Health Care,46.22699945
A,2016-08-01,Health Care,47.514347782608695
