GICS Sector,month,total_revenue,gross_profit,net_income,n_companies
Consumer Discretionary,1970-01-01,4906235314000.0,1555863330000.0,317012162000,76
Consumer Staples,1970-01-01,5194629136000.0,1390677673000.0,272435658000,31
Energy,1970-01-01,4766109429000.0,1377380796000.0,222018268000,31
Financials,1970-01-01,3742058124000.0,1543627246000.0,508120505000,51
Health Care,1970-01-01,4134679281000.0,1409015274000.0,300813252000,49
Industrials,1970-01-01,3503371971000.0,1345209497000.0,280553032000,62
Information Technology,1970-01-01,3365097479000.0,1651061269000.0,591635680000,60
Materials,1970-01-01,1055234280000.0,302481314000.0,79443270000,24
Real Estate,1970-01-01,247609420000.0,135782217000.0,46876344000,26
Telecommunications Services,1970-01-01,1151218853000.0,677141853000.0,90685273000,5
Utilities,1970-01-01,970022971000.0,383593469000.0,90390355000,24
